scenario,seed,allocator,task_completion_rate,mean_completion_time,system_throughput,mean_amv_availability,fault_impact_score,deadlock_frequency,mean_packet_loss_rate,energy_efficiency,convergence_rate,connectivity_maintenance,physics_impact_on_faults,thermocline_crossing_penalty,congestion_drop_rate,stalled_amv_timesteps,mean_task_delay,max_task_delay,never_completed_tasks
none,42,auction,0.7333333333333333,214.83333333333334,0.022,0.4270251941198947,0.4524,0.6,0.3543516873889876,28.287446477128427,1.6695652173913043,0.922,-0.6217969511497728,0.4518206039076377,0.08259325044404973,0,40.13333333333333,113.0,4
none,100,auction,1.0,185.93333333333334,0.03,0.38362790660674956,0.5248,0.0,0.3180095983834302,21.278815316538303,1.4144144144144144,0.66,0.7929665602618323,0.3139681737812579,0.06668350593584238,0,60.06666666666667,117.0,0
none,2023,auction,0.8666666666666667,168.07692307692307,0.026,0.36250269495330256,0.5532,0.2,0.3346076458752515,25.469207372800845,1.4473684210526316,0.922,0.659751968119758,0.4044265593561368,0.07645875251509054,0,36.93333333333333,84.0,2
none,888,auction,1.0,98.13333333333334,0.03,0.5639179102692505,0.4015444015444015,0.0,0.3437939110070258,11.706060136186027,1.5238095238095237,0.9227799227799228,-0.449181776639423,0.39063231850117097,0.04402810304449649,0,58.2,175.0,0
none,9999,auction,0.6,146.0,0.018,0.388379117358019,0.368,0.2,0.3041831357048748,34.257727774222715,1.8695652173913044,1.0,-0.28882861205721205,0.16930171277997366,0.1007905138339921,0,36.86666666666667,128.0,6
none,10,auction,0.8666666666666667,279.64285714285717,0.026,0.374158986613037,0.4488,0.6,0.28657844990548204,23.671008403476357,1.7321428571428572,0.88,-0.21423579290837835,0.2831758034026465,0.08147448015122874,0,40.6,78.0,2
none,20,auction,1.0,176.06666666666666,0.03,0.4443095138726866,0.4803970223325062,0.0,0.3496292227410052,19.228584147717903,1.5625,1.0,0.8825051916755229,0.4089535841801703,0.06811315572644878,0,51.13333333333333,99.0,0
none,30,auction,0.6666666666666666,158.4,0.02,0.45072430292588234,0.3928,0.0,0.28217620787657327,33.47339395063476,1.7796610169491525,0.7,-0.7797515976613499,0.22777101096224117,0.09439707673568819,0,47.2,137.0,5
none,40,auction,0.9333333333333333,149.21428571428572,0.028,0.38062125732463914,0.5332,0.4,0.2913405705629891,23.54292636274574,1.6638655462184875,0.62,0.1883389646768095,0.28856349406715476,0.07548598838677102,0,54.86666666666667,129.0,1
none,50,auction,0.9333333333333333,183.07142857142858,0.028,0.438432766809685,0.4576,0.6,0.270304114490161,23.18195085469639,1.7241379310344827,0.842,0.2658439545504452,0.37638640429338105,0.06905187835420394,0,41.46666666666667,87.0,1
none,60,auction,1.0,137.0,0.03,0.41497301730076647,0.4813238770685579,0.0,0.29329852045256743,17.84577494836898,1.6018518518518519,0.4491725768321513,0.15040978275154576,0.3977371627502176,0.09457499274731651,0,41.46666666666667,104.0,0
none,70,auction,0.6,87.44444444444444,0.018,0.4645241621415818,0.5332,0.4,0.3220338983050847,35.6070194808394,1.6929824561403508,0.982,0.15547220328853287,0.1896186440677966,0.09957627118644068,0,46.0,131.0,6
none,80,auction,0.5333333333333333,109.875,0.016,0.3904036145490751,0.4892,0.6,0.3681628648516066,35.108782143023085,2.1272727272727274,0.802,-0.5563719672363223,0.2901643365219524,0.09271523178807947,0,33.2,80.0,7
none,90,auction,1.0,126.93333333333334,0.03,0.5624128871774315,0.3706422018348624,0.2,0.3085057471264368,13.35617159337836,1.2564102564102564,1.0,-0.37604379109628505,0.3604597701149425,0.02160919540229885,0,67.8,185.0,0
none,1000,auction,0.8,178.75,0.024,0.3456184669472001,0.5368,0.4,0.2898454379258767,27.049089479079967,1.8796296296296295,1.0,0.8234794055471006,0.12381585507728103,0.12797074954296161,0,35.86666666666667,123.0,3
amv_loss,42,auction,0.6,149.7,0.018,0.32033482027220317,0.5212,1.4000000000000001,0.3951048951048951,41.42701729119868,1.8037383177570094,0.922,0.12810064978403954,0.5086247086247087,0.07109557109557109,0,29.733333333333334,122.0,6
