scenario,seed,allocator,task_completion_rate,never_completed_tasks,mean_task_delay,max_task_delay,congestion_drop_rate,mean_completion_time
none,42,auction,1.0,0,80.4,208.0,0.0011086474501108647,128.33333333333334
none,100,auction,1.0,0,79.8,225.0,0.0009199632014719411,129.46666666666667
none,2023,auction,1.0,0,102.13333333333334,228.0,0.0,159.86666666666667
none,888,auction,1.0,0,85.73333333333333,247.0,0.0020429009193054137,137.4
none,9999,auction,0.8666666666666667,2,81.53333333333333,179.0,0.0038550501156515036,202.92857142857142
none,10,auction,0.9333333333333333,1,105.4,320.0,0.00234192037470726,312.7142857142857
none,20,auction,0.9333333333333333,1,94.0,314.0,0.0,153.42857142857142
none,30,auction,1.0,0,90.2,281.0,0.0010141987829614604,147.2
none,40,auction,0.8,3,103.0,346.0,0.0007575757575757576,107.84615384615384
none,50,auction,1.0,0,69.0,190.0,0.004172461752433936,113.06666666666666
none,60,auction,1.0,0,69.53333333333333,220.0,0.0029850746268656717,102.86666666666666
none,70,auction,1.0,0,67.86666666666666,176.0,0.004662004662004662,115.26666666666667
none,80,auction,0.8666666666666667,2,99.2,221.0,0.004421518054532056,181.07142857142858
none,90,auction,1.0,0,80.13333333333334,257.0,0.0009930486593843098,146.93333333333334
none,1000,auction,1.0,0,104.73333333333333,400.0,0.0015479876160990713,175.6
amv_loss,42,auction,1.0,0,68.86666666666666,198.0,0.0010090817356205853,131.53333333333333
amv_loss,100,auction,0.8,3,59.266666666666666,183.0,0.00154828720727695,122.38461538461539
amv_loss,2023,auction,0.8,3,76.0,198.0,0.0,131.6153846153846
amv_loss,888,auction,1.0,0,75.2,222.0,0.003131524008350731,142.26666666666668
amv_loss,9999,auction,0.5333333333333333,7,64.26666666666667,212.0,0.0007535795026375283,130.44444444444446
amv_loss,10,auction,0.5333333333333333,7,77.2,273.0,0.0007639419404125286,269.44444444444446
amv_loss,20,auction,0.7333333333333333,4,79.93333333333334,270.0,0.0,117.81818181818181
amv_loss,30,auction,0.8666666666666667,2,61.53333333333333,161.0,0.0007782101167315176,120.53846153846153
amv_loss,40,auction,1.0,0,65.4,157.0,0.0,117.93333333333334
amv_loss,50,auction,1.0,0,73.6,185.0,0.002976190476190476,139.4
amv_loss,60,auction,0.9333333333333333,1,75.4,217.0,0.001530221882172915,94.85714285714286
amv_loss,70,auction,1.0,0,67.86666666666666,159.0,0.003179650238473768,125.46666666666667
amv_loss,80,auction,0.7333333333333333,4,73.46666666666667,221.0,0.0015128593040847202,164.9090909090909
amv_loss,90,auction,1.0,0,69.46666666666667,204.0,0.00211864406779661,147.73333333333332
amv_loss,1000,auction,0.8666666666666667,2,100.66666666666667,306.0,0.0007651109410864575,184.07692307692307
comm_blackout,42,auction,1.0,0,72.4,181.0,0.0014367816091954023,118.26666666666667
comm_blackout,100,auction,1.0,0,82.2,261.0,0.0008424599831508003,131.93333333333334
comm_blackout,2023,auction,1.0,0,102.13333333333334,228.0,0.0,159.86666666666667
comm_blackout,888,auction,1.0,0,92.13333333333334,274.0,0.0016750418760469012,144.33333333333334
comm_blackout,9999,auction,0.8666666666666667,2,92.13333333333334,295.0,0.001554907677356657,177.6153846153846
comm_blackout,10,auction,0.6666666666666666,5,84.6,231.0,0.0022953328232593728,260.09090909090907
comm_blackout,20,auction,0.9333333333333333,1,92.33333333333333,246.0,0.0,174.26666666666668
comm_blackout,30,auction,1.0,0,90.2,281.0,0.0010141987829614604,147.2
comm_blackout,40,auction,1.0,0,99.4,333.0,0.0,131.33333333333334
comm_blackout,50,auction,1.0,0,69.0,190.0,0.004172461752433936,113.06666666666666
comm_blackout,60,auction,1.0,0,80.2,331.0,0.000856898029134533,102.46666666666667
comm_blackout,70,auction,1.0,0,71.8,198.0,0.0033594624860022394,119.33333333333333
comm_blackout,80,auction,0.8,3,108.53333333333333,233.0,0.0022624434389140274,162.84615384615384
comm_blackout,90,auction,1.0,0,80.13333333333334,257.0,0.0009930486593843098,146.93333333333334
comm_blackout,1000,auction,0.7333333333333333,4,103.73333333333333,372.0,0.0015278838808250573,108.54545454545455
mass_fault,42,auction,1.0,0,79.86666666666666,200.0,0.006415396952686447,128.6
mass_fault,100,auction,1.0,0,74.46666666666667,215.0,0.002560819462227913,124.4
mass_fault,2023,auction,1.0,0,108.26666666666667,219.0,0.0008703220191470844,174.26666666666668
mass_fault,888,auction,1.0,0,90.2,265.0,0.0019249278152069298,140.06666666666666
mass_fault,9999,auction,0.8666666666666667,2,87.4,188.0,0.0007727975270479134,179.64285714285714
mass_fault,10,auction,0.8666666666666667,2,109.0,355.0,0.002354788069073783,306.61538461538464
mass_fault,20,auction,0.8666666666666667,2,90.0,272.0,0.0,154.76923076923077
mass_fault,30,auction,0.9333333333333333,1,89.73333333333333,245.0,0.0007836990595611285,123.78571428571429
mass_fault,40,auction,0.8666666666666667,2,97.26666666666667,284.0,0.0015157256536566881,135.35714285714286
mass_fault,50,auction,1.0,0,90.06666666666666,299.0,0.0016764459346186086,131.93333333333334
mass_fault,60,auction,1.0,0,72.6,215.0,0.0012531328320802004,106.53333333333333
mass_fault,70,auction,1.0,0,66.66666666666667,174.0,0.0035587188612099642,113.66666666666667
mass_fault,80,auction,0.8,3,98.6,222.0,0.0029651593773165306,167.46153846153845
mass_fault,90,auction,1.0,0,79.4,233.0,0.0024479804161566705,142.66666666666666
mass_fault,1000,auction,0.8666666666666667,2,105.0,377.0,0.0022813688212927757,160.0
none,42,vanilla_auction,1.0,0,72.13333333333334,204.0,0.0,113.66666666666667
none,100,vanilla_auction,1.0,0,72.66666666666667,199.0,0.0,117.53333333333333
none,2023,vanilla_auction,1.0,0,76.0,203.0,0.0,124.13333333333334
none,888,vanilla_auction,1.0,0,75.8,233.0,0.0,118.4
none,9999,vanilla_auction,0.9333333333333333,1,102.73333333333333,233.0,0.0,147.64285714285714
none,10,vanilla_auction,1.0,0,89.13333333333334,149.0,0.0,211.66666666666666
none,20,vanilla_auction,1.0,0,81.06666666666666,211.0,0.0,136.66666666666666
none,30,vanilla_auction,1.0,0,72.6,187.0,0.0,114.4
none,40,vanilla_auction,0.9333333333333333,1,86.33333333333333,391.0,0.0,98.42857142857143
none,50,vanilla_auction,1.0,0,71.6,181.0,0.0,116.2
none,60,vanilla_auction,1.0,0,73.06666666666666,248.0,0.0,97.4
none,70,vanilla_auction,1.0,0,65.26666666666667,147.0,0.0,106.2
none,80,vanilla_auction,0.9333333333333333,1,87.66666666666667,291.0,0.0,121.0
none,90,vanilla_auction,1.0,0,77.26666666666667,193.0,0.0,131.06666666666666
none,1000,vanilla_auction,0.9333333333333333,1,95.46666666666667,261.0,0.0,126.42857142857143
amv_loss,42,vanilla_auction,0.8666666666666667,2,113.53333333333333,428.0,0.0,101.84615384615384
amv_loss,100,vanilla_auction,0.8666666666666667,2,106.66666666666667,435.0,0.0,97.76923076923077
amv_loss,2023,vanilla_auction,0.8666666666666667,2,106.93333333333334,463.0,0.0,103.38461538461539
amv_loss,888,vanilla_auction,0.8666666666666667,2,114.33333333333333,452.0,0.0,104.76923076923077
amv_loss,9999,vanilla_auction,0.8,3,131.2,390.0,0.0,126.0
amv_loss,10,vanilla_auction,0.6666666666666666,5,122.66666666666667,461.0,0.0,206.3
amv_loss,20,vanilla_auction,0.8666666666666667,2,119.4,452.0,0.0,133.30769230769232
amv_loss,30,vanilla_auction,0.8666666666666667,2,110.2,429.0,0.0,98.3076923076923
amv_loss,40,vanilla_auction,0.8,3,120.2,419.0,0.0,73.66666666666667
amv_loss,50,vanilla_auction,0.8666666666666667,2,107.33333333333333,439.0,0.0,98.23076923076923
amv_loss,60,vanilla_auction,0.9333333333333333,1,88.06666666666666,443.0,0.0,84.64285714285714
amv_loss,70,vanilla_auction,0.9333333333333333,1,96.4,455.0,0.0,111.35714285714286
amv_loss,80,vanilla_auction,0.7333333333333333,4,151.86666666666667,449.0,0.0,111.72727272727273
amv_loss,90,vanilla_auction,0.8666666666666667,2,111.53333333333333,456.0,0.0,119.84615384615384
amv_loss,1000,vanilla_auction,0.8666666666666667,2,113.93333333333334,456.0,0.0,118.15384615384616
comm_blackout,42,vanilla_auction,1.0,0,72.13333333333334,204.0,0.0,113.66666666666667
comm_blackout,100,vanilla_auction,1.0,0,72.66666666666667,199.0,0.0,117.53333333333333
comm_blackout,2023,vanilla_auction,1.0,0,76.0,203.0,0.0,124.13333333333334
comm_blackout,888,vanilla_auction,1.0,0,75.8,233.0,0.0,118.4
comm_blackout,9999,vanilla_auction,0.9333333333333333,1,102.73333333333333,233.0,0.0,147.64285714285714
comm_blackout,10,vanilla_auction,1.0,0,89.13333333333334,149.0,0.0,211.66666666666666
comm_blackout,20,vanilla_auction,1.0,0,81.06666666666666,211.0,0.0,136.66666666666666
comm_blackout,30,vanilla_auction,1.0,0,72.6,187.0,0.0,114.4
comm_blackout,40,vanilla_auction,0.9333333333333333,1,86.33333333333333,391.0,0.0,98.42857142857143
comm_blackout,50,vanilla_auction,1.0,0,71.6,181.0,0.0,116.2
comm_blackout,60,vanilla_auction,1.0,0,73.06666666666666,248.0,0.0,97.4
comm_blackout,70,vanilla_auction,1.0,0,65.26666666666667,147.0,0.0,106.2
comm_blackout,80,vanilla_auction,0.9333333333333333,1,87.66666666666667,291.0,0.0,121.0
comm_blackout,90,vanilla_auction,1.0,0,77.26666666666667,193.0,0.0,131.06666666666666
comm_blackout,1000,vanilla_auction,0.9333333333333333,1,95.46666666666667,261.0,0.0,126.42857142857143
mass_fault,42,vanilla_auction,1.0,0,77.93333333333334,214.0,0.0,119.46666666666667
mass_fault,100,vanilla_auction,1.0,0,74.73333333333333,211.0,0.0,119.6
mass_fault,2023,vanilla_auction,1.0,0,77.66666666666667,210.0,0.0,125.8
mass_fault,888,vanilla_auction,1.0,0,76.73333333333333,219.0,0.0,120.0
mass_fault,9999,vanilla_auction,0.9333333333333333,1,103.93333333333334,233.0,0.0,149.64285714285714
mass_fault,10,vanilla_auction,1.0,0,89.73333333333333,150.0,0.0,210.06666666666666
mass_fault,20,vanilla_auction,1.0,0,77.53333333333333,203.0,0.0,133.8
mass_fault,30,vanilla_auction,1.0,0,74.33333333333333,189.0,0.0,116.13333333333334
mass_fault,40,vanilla_auction,0.9333333333333333,1,87.46666666666667,391.0,0.0,99.64285714285714
mass_fault,50,vanilla_auction,1.0,0,69.53333333333333,142.0,0.0,114.8
mass_fault,60,vanilla_auction,1.0,0,73.73333333333333,253.0,0.0,98.06666666666666
mass_fault,70,vanilla_auction,1.0,0,69.86666666666666,175.0,0.0,110.8
mass_fault,80,vanilla_auction,0.9333333333333333,1,88.66666666666667,291.0,0.0,122.07142857142857
mass_fault,90,vanilla_auction,1.0,0,79.46666666666667,199.0,0.0,133.26666666666668
mass_fault,1000,vanilla_auction,0.9333333333333333,1,98.0,419.0,0.0,128.42857142857142
none,42,cbba,0.9333333333333333,1,60.0,141.0,0.1267605633802817,148.07142857142858
none,100,cbba,1.0,0,48.266666666666666,112.0,0.14414414414414414,116.66666666666667
none,2023,cbba,0.9333333333333333,1,98.4,381.0,0.1141552511415525,194.92857142857142
none,888,cbba,0.8666666666666667,2,86.33333333333333,331.0,0.0989010989010989,121.3076923076923
none,9999,cbba,1.0,0,72.6,259.0,0.12234042553191489,165.46666666666667
none,10,cbba,1.0,0,57.06666666666667,181.0,0.07228915662650602,132.73333333333332
none,20,cbba,0.9333333333333333,1,92.06666666666666,360.0,0.09230769230769231,147.64285714285714
none,30,cbba,1.0,0,64.33333333333333,143.0,0.12037037037037036,128.4
none,40,cbba,0.9333333333333333,1,75.93333333333334,321.0,0.14049586776859505,170.42857142857142
none,50,cbba,1.0,0,60.93333333333333,166.0,0.10606060606060606,122.06666666666666
none,60,cbba,1.0,0,46.333333333333336,113.0,0.14556962025316456,113.26666666666667
none,70,cbba,1.0,0,62.53333333333333,246.0,0.11627906976744186,128.46666666666667
none,80,cbba,0.8666666666666667,2,93.86666666666666,340.0,0.11214953271028037,131.3846153846154
none,90,cbba,1.0,0,48.0,114.0,0.125,124.0
none,1000,cbba,0.8,3,67.13333333333334,264.0,0.13963963963963963,230.25
amv_loss,42,cbba,0.7333333333333333,4,59.8,151.0,0.11442786069651742,137.45454545454547
amv_loss,100,cbba,1.0,0,52.0,125.0,0.11510791366906475,127.06666666666666
amv_loss,2023,cbba,0.9333333333333333,1,71.93333333333334,221.0,0.1285140562248996,208.28571428571428
amv_loss,888,cbba,1.0,0,55.4,131.0,0.1276595744680851,167.46666666666667
amv_loss,9999,cbba,0.9333333333333333,1,64.46666666666667,160.0,0.07526881720430108,203.71428571428572
amv_loss,10,cbba,0.9333333333333333,1,72.46666666666667,425.0,0.043795620437956206,126.5
amv_loss,20,cbba,0.9333333333333333,1,72.0,251.0,0.11386138613861387,150.57142857142858
amv_loss,30,cbba,1.0,0,54.46666666666667,143.0,0.12149532710280374,128.06666666666666
amv_loss,40,cbba,0.9333333333333333,1,67.2,166.0,0.10047846889952153,210.64285714285714
amv_loss,50,cbba,1.0,0,56.46666666666667,216.0,0.1095890410958904,125.6
amv_loss,60,cbba,0.9333333333333333,1,64.93333333333334,322.0,0.09950248756218906,110.85714285714286
amv_loss,70,cbba,1.0,0,49.86666666666667,112.0,0.15384615384615385,112.4
amv_loss,80,cbba,0.8666666666666667,2,70.2,271.0,0.1,137.92307692307693
amv_loss,90,cbba,1.0,0,41.06666666666667,114.0,0.1092436974789916,121.0
amv_loss,1000,cbba,0.8,3,76.2,250.0,0.1339712918660287,193.08333333333334
comm_blackout,42,cbba,1.0,0,49.13333333333333,127.0,0.12,156.53333333333333
comm_blackout,100,cbba,1.0,0,48.266666666666666,112.0,0.14414414414414414,116.66666666666667
comm_blackout,2023,cbba,0.9333333333333333,1,90.0,259.0,0.11737089201877934,181.21428571428572
comm_blackout,888,cbba,1.0,0,73.0,221.0,0.13736263736263737,159.93333333333334
comm_blackout,9999,cbba,1.0,0,62.266666666666666,124.0,0.11764705882352941,151.06666666666666
comm_blackout,10,cbba,1.0,0,57.06666666666667,181.0,0.07228915662650602,132.73333333333332
comm_blackout,20,cbba,0.9333333333333333,1,84.46666666666667,366.0,0.10614525139664804,138.0
comm_blackout,30,cbba,1.0,0,64.33333333333333,143.0,0.13392857142857142,128.4
comm_blackout,40,cbba,0.9333333333333333,1,82.2,321.0,0.1031390134529148,180.85714285714286
comm_blackout,50,cbba,1.0,0,50.46666666666667,132.0,0.11538461538461539,110.93333333333334
comm_blackout,60,cbba,1.0,0,46.333333333333336,113.0,0.1456953642384106,107.73333333333333
comm_blackout,70,cbba,1.0,0,62.666666666666664,254.0,0.11464968152866242,127.2
comm_blackout,80,cbba,0.9333333333333333,1,71.93333333333334,276.0,0.10606060606060606,139.0
comm_blackout,90,cbba,1.0,0,48.8,118.0,0.10091743119266056,125.13333333333334
comm_blackout,1000,cbba,0.7333333333333333,4,69.06666666666666,222.0,0.12605042016806722,184.36363636363637
mass_fault,42,cbba,1.0,0,45.86666666666667,116.0,0.17582417582417584,149.93333333333334
mass_fault,100,cbba,1.0,0,69.8,300.0,0.1282051282051282,143.73333333333332
mass_fault,2023,cbba,0.9333333333333333,1,97.8,341.0,0.11822660098522167,189.42857142857142
mass_fault,888,cbba,1.0,0,57.8,157.0,0.13513513513513514,143.4
mass_fault,9999,cbba,0.9333333333333333,1,78.4,251.0,0.10849056603773585,155.07142857142858
mass_fault,10,cbba,1.0,0,63.86666666666667,184.0,0.11811023622047244,139.53333333333333
mass_fault,20,cbba,1.0,0,63.53333333333333,175.0,0.1527777777777778,144.93333333333334
mass_fault,30,cbba,1.0,0,71.93333333333334,166.0,0.12096774193548387,135.33333333333334
mass_fault,40,cbba,0.8666666666666667,2,87.73333333333333,376.0,0.1148936170212766,163.46153846153845
mass_fault,50,cbba,1.0,0,50.86666666666667,190.0,0.13675213675213677,114.0
mass_fault,60,cbba,1.0,0,47.0,108.0,0.13793103448275862,111.2
mass_fault,70,cbba,1.0,0,61.333333333333336,251.0,0.12650602409638553,122.46666666666667
mass_fault,80,cbba,0.9333333333333333,1,73.26666666666667,276.0,0.125,137.42857142857142
mass_fault,90,cbba,1.0,0,52.46666666666667,150.0,0.13836477987421383,134.93333333333334
mass_fault,1000,cbba,0.8666666666666667,2,88.4,214.0,0.17446808510638298,200.69230769230768
